State,Livestock,Livestock title,Variety,Year,Unit,Value
Texas,Pigs,Genetically engineered (GE) chickens,Growth hormone-enhanced,2023,Percent of all pigs,13
Texas,Cattle,Genetically engineered (GE) pigs,Disease-resistant,2014,Percent of all chickens,35
Nebraska,Chickens,Genetically engineered (GE) chickens,Growth hormone-enhanced,2016,Percent of all pigs,17
Nebraska,Pigs,Genetically engineered (GE) pigs,Disease-resistant,2019,Percent of all pigs,73
Kansas,Pigs,Genetically engineered (GE) chickens,Disease-resistant,2021,Percent of all pigs,68
California,Chickens,Genetically engineered (GE) pigs,Disease-resistant,2013,Percent of all cattle,62
California,Cattle,Genetically engineered (GE) pigs,High-yield,2024,Percent of all cattle,41
Texas,Cattle,Genetically engineered (GE) chickens,Growth hormone-enhanced,2013,Percent of all chickens,89
Kansas,Pigs,Genetically engineered (GE) chickens,Growth hormone-enhanced,2017,Percent of all pigs,15
Iowa,Chickens,Genetically engineered (GE) cattle,High-yield,2015,Percent of all cattle,96
Iowa,Pigs,Genetically engineered (GE) cattle,Disease-resistant,2011,Percent of all pigs,30
Kansas,Chickens,Genetically engineered (GE) cattle,Disease-resistant,2024,Percent of all pigs,73
Nebraska,Cattle,Genetically engineered (GE) cattle,High-yield,2016,Percent of all chickens,98
Kansas,Cattle,Genetically engineered (GE) chickens,Disease-resistant,2015,Percent of all chickens,75
Iowa,Chickens,Genetically engineered (GE) pigs,Growth hormone-enhanced,2013,Percent of all livestock,76
California,Chickens,Genetically engineered (GE) pigs,High-yield,2020,Percent of all livestock,60
Iowa,Chickens,Genetically engineered (GE) cattle,Growth hormone-enhanced,2021,Percent of all pigs,27
Texas,Cattle,Genetically engineered (GE) chickens,Disease-resistant,2013,Percent of all pigs,0
Iowa,Chickens,Genetically engineered (GE) pigs,Growth hormone-enhanced,2016,Percent of all cattle,89
Texas,Cattle,Genetically engineered (GE) chickens,High-yield,2024,Percent of all livestock,75
California,Pigs,Genetically engineered (GE) pigs,Growth hormone-enhanced,2023,Percent of all cattle,76
California,Cattle,Genetically engineered (GE) cattle,High-yield,2024,Percent of all cattle,32
California,Pigs,Genetically engineered (GE) pigs,High-yield,2014,Percent of all pigs,28
Nebraska,Chickens,Genetically engineered (GE) cattle,High-yield,2016,Percent of all cattle,90
Iowa,Chickens,Genetically engineered (GE) cattle,High-yield,2020,Percent of all pigs,84
California,Pigs,Genetically engineered (GE) pigs,Growth hormone-enhanced,2021,Percent of all cattle,66
Iowa,Cattle,Genetically engineered (GE) pigs,Growth hormone-enhanced,2020,Percent of all chickens,24
Nebraska,Pigs,Genetically engineered (GE) cattle,High-yield,2024,Percent of all chickens,6
Texas,Cattle,Genetically engineered (GE) chickens,High-yield,2012,Percent of all cattle,65
Iowa,Pigs,Genetically engineered (GE) pigs,High-yield,2017,Percent of all livestock,70
Texas,Pigs,Genetically engineered (GE) chickens,High-yield,2021,Percent of all chickens,82
Iowa,Pigs,Genetically engineered (GE) chickens,Disease-resistant,2023,Percent of all chickens,50
Iowa,Pigs,Genetically engineered (GE) cattle,Disease-resistant,2011,Percent of all pigs,4
California,Cattle,Genetically engineered (GE) chickens,Disease-resistant,2010,Percent of all pigs,83
California,Pigs,Genetically engineered (GE) cattle,High-yield,2011,Percent of all chickens,36
Nebraska,Chickens,Genetically engineered (GE) cattle,Growth hormone-enhanced,2016,Percent of all chickens,72
Texas,Cattle,Genetically engineered (GE) cattle,Growth hormone-enhanced,2017,Percent of all cattle,4
Nebraska,Pigs,Genetically engineered (GE) pigs,Disease-resistant,2010,Percent of all livestock,64
Iowa,Cattle,Genetically engineered (GE) pigs,High-yield,2018,Percent of all chickens,41
Nebraska,Chickens,Genetically engineered (GE) cattle,Growth hormone-enhanced,2020,Percent of all cattle,39
Iowa,Chickens,Genetically engineered (GE) chickens,Disease-resistant,2023,Percent of all cattle,28
California,Chickens,Genetically engineered (GE) cattle,High-yield,2021,Percent of all livestock,32
Iowa,Cattle,Genetically engineered (GE) cattle,Disease-resistant,2014,Percent of all pigs,5
Texas,Chickens,Genetically engineered (GE) chickens,Growth hormone-enhanced,2022,Percent of all cattle,24
Texas,Chickens,Genetically engineered (GE) cattle,Growth hormone-enhanced,2021,Percent of all pigs,34
Nebraska,Cattle,Genetically engineered (GE) cattle,High-yield,2018,Percent of all livestock,92
Texas,Chickens,Genetically engineered (GE) pigs,High-yield,2023,Percent of all livestock,57
Texas,Pigs,Genetically engineered (GE) pigs,High-yield,2013,Percent of all cattle,90
Texas,Chickens,Genetically engineered (GE) cattle,Growth hormone-enhanced,2018,Percent of all cattle,38
Iowa,Pigs,Genetically engineered (GE) pigs,High-yield,2013,Percent of all pigs,53
California,Chickens,Genetically engineered (GE) cattle,Disease-resistant,2016,Percent of all pigs,79
Kansas,Cattle,Genetically engineered (GE) cattle,Disease-resistant,2011,Percent of all cattle,42
Iowa,Cattle,Genetically engineered (GE) cattle,High-yield,2012,Percent of all cattle,0
Texas,Cattle,Genetically engineered (GE) chickens,High-yield,2011,Percent of all livestock,79
California,Chickens,Genetically engineered (GE) cattle,Growth hormone-enhanced,2018,Percent of all livestock,85
Nebraska,Chickens,Genetically engineered (GE) pigs,Disease-resistant,2010,Percent of all livestock,0
Iowa,Cattle,Genetically engineered (GE) cattle,Disease-resistant,2017,Percent of all livestock,14
Kansas,Cattle,Genetically engineered (GE) pigs,Growth hormone-enhanced,2015,Percent of all pigs,34
Nebraska,Pigs,Genetically engineered (GE) pigs,Disease-resistant,2021,Percent of all livestock,21
Nebraska,Pigs,Genetically engineered (GE) cattle,Growth hormone-enhanced,2022,Percent of all livestock,92
Nebraska,Cattle,Genetically engineered (GE) pigs,High-yield,2011,Percent of all chickens,25
Kansas,Cattle,Genetically engineered (GE) pigs,Growth hormone-enhanced,2020,Percent of all livestock,33
California,Pigs,Genetically engineered (GE) cattle,Disease-resistant,2011,Percent of all livestock,23
California,Pigs,Genetically engineered (GE) chickens,Disease-resistant,2011,Percent of all pigs,8
Texas,Cattle,Genetically engineered (GE) pigs,Disease-resistant,2013,Percent of all livestock,87
Kansas,Cattle,Genetically engineered (GE) chickens,Disease-resistant,2014,Percent of all chickens,71
Kansas,Chickens,Genetically engineered (GE) cattle,Disease-resistant,2012,Percent of all chickens,6
Texas,Chickens,Genetically engineered (GE) chickens,Growth hormone-enhanced,2020,Percent of all cattle,84
California,Cattle,Genetically engineered (GE) chickens,High-yield,2020,Percent of all pigs,48
Texas,Chickens,Genetically engineered (GE) pigs,High-yield,2017,Percent of all livestock,63
Iowa,Cattle,Genetically engineered (GE) cattle,Disease-resistant,2024,Percent of all pigs,78
Iowa,Cattle,Genetically engineered (GE) cattle,Growth hormone-enhanced,2023,Percent of all cattle,26
Iowa,Chickens,Genetically engineered (GE) cattle,High-yield,2022,Percent of all chickens,50
Iowa,Chickens,Genetically engineered (GE) pigs,High-yield,2021,Percent of all chickens,71
Iowa,Cattle,Genetically engineered (GE) chickens,Disease-resistant,2021,Percent of all chickens,17
Nebraska,Pigs,Genetically engineered (GE) chickens,Growth hormone-enhanced,2021,Percent of all cattle,70
Texas,Chickens,Genetically engineered (GE) pigs,Disease-resistant,2012,Percent of all chickens,62
Kansas,Cattle,Genetically engineered (GE) pigs,Growth hormone-enhanced,2013,Percent of all chickens,97
California,Cattle,Genetically engineered (GE) chickens,Disease-resistant,2011,Percent of all cattle,23
Texas,Pigs,Genetically engineered (GE) chickens,High-yield,2021,Percent of all chickens,35
Kansas,Cattle,Genetically engineered (GE) chickens,Growth hormone-enhanced,2016,Percent of all cattle,15
Iowa,Cattle,Genetically engineered (GE) cattle,High-yield,2023,Percent of all livestock,76
Nebraska,Chickens,Genetically engineered (GE) cattle,High-yield,2011,Percent of all cattle,14
Texas,Chickens,Genetically engineered (GE) pigs,Growth hormone-enhanced,2019,Percent of all livestock,48
Iowa,Chickens,Genetically engineered (GE) chickens,Disease-resistant,2018,Percent of all pigs,50
Kansas,Cattle,Genetically engineered (GE) cattle,High-yield,2016,Percent of all livestock,97
Nebraska,Pigs,Genetically engineered (GE) chickens,Growth hormone-enhanced,2024,Percent of all cattle,41
California,Pigs,Genetically engineered (GE) pigs,Growth hormone-enhanced,2017,Percent of all cattle,54
California,Cattle,Genetically engineered (GE) cattle,Disease-resistant,2022,Percent of all livestock,56
Nebraska,Pigs,Genetically engineered (GE) chickens,Disease-resistant,2023,Percent of all livestock,0
Iowa,Pigs,Genetically engineered (GE) chickens,Disease-resistant,2014,Percent of all pigs,59
Iowa,Chickens,Genetically engineered (GE) cattle,Disease-resistant,2016,Percent of all livestock,99
Texas,Chickens,Genetically engineered (GE) cattle,High-yield,2022,Percent of all pigs,75
Texas,Chickens,Genetically engineered (GE) cattle,High-yield,2022,Percent of all pigs,46
Texas,Chickens,Genetically engineered (GE) chickens,Disease-resistant,2015,Percent of all pigs,91
Texas,Cattle,Genetically engineered (GE) chickens,Disease-resistant,2013,Percent of all chickens,96
Nebraska,Chickens,Genetically engineered (GE) pigs,Growth hormone-enhanced,2021,Percent of all cattle,67
California,Cattle,Genetically engineered (GE) pigs,Growth hormone-enhanced,2017,Percent of all pigs,77
Texas,Pigs,Genetically engineered (GE) chickens,Disease-resistant,2011,Percent of all cattle,79
Iowa,Pigs,Genetically engineered (GE) pigs,Disease-resistant,2023,Percent of all pigs,24
Texas,Pigs,Genetically engineered (GE) cattle,Growth hormone-enhanced,2011,Percent of all livestock,41
Texas,Chickens,Genetically engineered (GE) chickens,Disease-resistant,2023,Percent of all cattle,69
Nebraska,Chickens,Genetically engineered (GE) pigs,High-yield,2011,Percent of all pigs,43
California,Cattle,Genetically engineered (GE) pigs,High-yield,2022,Percent of all cattle,57
Texas,Pigs,Genetically engineered (GE) pigs,Growth hormone-enhanced,2022,Percent of all cattle,70
Iowa,Chickens,Genetically engineered (GE) cattle,Disease-resistant,2019,Percent of all livestock,53
Texas,Pigs,Genetically engineered (GE) chickens,Growth hormone-enhanced,2022,Percent of all pigs,42
Kansas,Chickens,Genetically engineered (GE) cattle,High-yield,2019,Percent of all pigs,50
Texas,Pigs,Genetically engineered (GE) cattle,Disease-resistant,2021,Percent of all pigs,83
Kansas,Pigs,Genetically engineered (GE) cattle,Disease-resistant,2011,Percent of all pigs,76
Texas,Pigs,Genetically engineered (GE) chickens,Disease-resistant,2014,Percent of all chickens,94
Kansas,Pigs,Genetically engineered (GE) cattle,Growth hormone-enhanced,2023,Percent of all cattle,4
Iowa,Chickens,Genetically engineered (GE) pigs,High-yield,2010,Percent of all pigs,79
Texas,Pigs,Genetically engineered (GE) cattle,Growth hormone-enhanced,2010,Percent of all livestock,29
Iowa,Cattle,Genetically engineered (GE) chickens,Disease-resistant,2022,Percent of all cattle,77
Kansas,Chickens,Genetically engineered (GE) cattle,Growth hormone-enhanced,2019,Percent of all chickens,73
Kansas,Cattle,Genetically engineered (GE) pigs,Disease-resistant,2022,Percent of all chickens,94
California,Cattle,Genetically engineered (GE) chickens,Disease-resistant,2017,Percent of all pigs,73
Texas,Pigs,Genetically engineered (GE) chickens,Disease-resistant,2024,Percent of all pigs,47
Iowa,Cattle,Genetically engineered (GE) pigs,Growth hormone-enhanced,2018,Percent of all cattle,65
California,Chickens,Genetically engineered (GE) cattle,Disease-resistant,2020,Percent of all chickens,21
California,Chickens,Genetically engineered (GE) cattle,Growth hormone-enhanced,2010,Percent of all livestock,51
California,Chickens,Genetically engineered (GE) chickens,Growth hormone-enhanced,2019,Percent of all cattle,38
Nebraska,Cattle,Genetically engineered (GE) cattle,Disease-resistant,2018,Percent of all livestock,28
Texas,Cattle,Genetically engineered (GE) chickens,Growth hormone-enhanced,2012,Percent of all livestock,75
Texas,Pigs,Genetically engineered (GE) pigs,Disease-resistant,2013,Percent of all chickens,2
Iowa,Pigs,Genetically engineered (GE) chickens,Growth hormone-enhanced,2015,Percent of all cattle,85
Iowa,Chickens,Genetically engineered (GE) pigs,Growth hormone-enhanced,2024,Percent of all chickens,39
Kansas,Cattle,Genetically engineered (GE) pigs,Growth hormone-enhanced,2013,Percent of all livestock,90
Kansas,Pigs,Genetically engineered (GE) pigs,Disease-resistant,2024,Percent of all livestock,25
California,Chickens,Genetically engineered (GE) cattle,Disease-resistant,2023,Percent of all chickens,54
Texas,Chickens,Genetically engineered (GE) pigs,Growth hormone-enhanced,2011,Percent of all pigs,80
Kansas,Pigs,Genetically engineered (GE) cattle,Disease-resistant,2020,Percent of all chickens,14
Kansas,Pigs,Genetically engineered (GE) chickens,High-yield,2018,Percent of all chickens,76
Texas,Cattle,Genetically engineered (GE) chickens,High-yield,2012,Percent of all cattle,59
Kansas,Pigs,Genetically engineered (GE) cattle,Disease-resistant,2023,Percent of all cattle,33
Kansas,Pigs,Genetically engineered (GE) chickens,Disease-resistant,2011,Percent of all cattle,9
California,Cattle,Genetically engineered (GE) chickens,High-yield,2012,Percent of all pigs,43
California,Cattle,Genetically engineered (GE) chickens,Growth hormone-enhanced,2017,Percent of all cattle,24
Texas,Chickens,Genetically engineered (GE) chickens,Disease-resistant,2023,Percent of all livestock,47
Texas,Pigs,Genetically engineered (GE) pigs,Growth hormone-enhanced,2019,Percent of all pigs,52
Texas,Pigs,Genetically engineered (GE) chickens,Disease-resistant,2019,Percent of all cattle,69
Nebraska,Cattle,Genetically engineered (GE) pigs,High-yield,2018,Percent of all livestock,41
California,Pigs,Genetically engineered (GE) chickens,Growth hormone-enhanced,2022,Percent of all livestock,97
Texas,Pigs,Genetically engineered (GE) cattle,Disease-resistant,2021,Percent of all chickens,83
Nebraska,Pigs,Genetically engineered (GE) cattle,High-yield,2013,Percent of all cattle,42
Kansas,Cattle,Genetically engineered (GE) pigs,Disease-resistant,2013,Percent of all chickens,64
Nebraska,Pigs,Genetically engineered (GE) cattle,High-yield,2012,Percent of all cattle,41
Nebraska,Pigs,Genetically engineered (GE) cattle,High-yield,2014,Percent of all pigs,58
Kansas,Pigs,Genetically engineered (GE) chickens,High-yield,2016,Percent of all chickens,50
Iowa,Cattle,Genetically engineered (GE) chickens,Growth hormone-enhanced,2015,Percent of all livestock,77
Nebraska,Chickens,Genetically engineered (GE) chickens,High-yield,2010,Percent of all pigs,90
Iowa,Pigs,Genetically engineered (GE) cattle,Growth hormone-enhanced,2024,Percent of all livestock,97
Iowa,Cattle,Genetically engineered (GE) cattle,High-yield,2020,Percent of all livestock,90
Kansas,Pigs,Genetically engineered (GE) cattle,High-yield,2022,Percent of all chickens,33
California,Chickens,Genetically engineered (GE) pigs,High-yield,2021,Percent of all pigs,3
Iowa,Chickens,Genetically engineered (GE) cattle,High-yield,2020,Percent of all cattle,51
Texas,Chickens,Genetically engineered (GE) pigs,Growth hormone-enhanced,2012,Percent of all chickens,95
Iowa,Pigs,Genetically engineered (GE) cattle,High-yield,2016,Percent of all pigs,74
California,Cattle,Genetically engineered (GE) chickens,High-yield,2017,Percent of all livestock,33
California,Chickens,Genetically engineered (GE) cattle,High-yield,2012,Percent of all livestock,99
Kansas,Pigs,Genetically engineered (GE) cattle,High-yield,2014,Percent of all livestock,90
California,Cattle,Genetically engineered (GE) chickens,Disease-resistant,2024,Percent of all chickens,13
Texas,Pigs,Genetically engineered (GE) cattle,High-yield,2014,Percent of all pigs,11
Nebraska,Pigs,Genetically engineered (GE) cattle,Growth hormone-enhanced,2021,Percent of all livestock,17
Nebraska,Chickens,Genetically engineered (GE) pigs,Growth hormone-enhanced,2012,Percent of all livestock,8
Nebraska,Chickens,Genetically engineered (GE) pigs,Disease-resistant,2017,Percent of all chickens,85
California,Cattle,Genetically engineered (GE) cattle,Growth hormone-enhanced,2016,Percent of all pigs,94
Iowa,Chickens,Genetically engineered (GE) pigs,Growth hormone-enhanced,2022,Percent of all livestock,48
Nebraska,Pigs,Genetically engineered (GE) chickens,Disease-resistant,2012,Percent of all chickens,23
Texas,Cattle,Genetically engineered (GE) chickens,High-yield,2023,Percent of all chickens,92
Texas,Cattle,Genetically engineered (GE) cattle,Disease-resistant,2015,Percent of all chickens,2
California,Cattle,Genetically engineered (GE) pigs,High-yield,2024,Percent of all pigs,87
Nebraska,Chickens,Genetically engineered (GE) pigs,High-yield,2024,Percent of all cattle,50
Texas,Chickens,Genetically engineered (GE) cattle,Growth hormone-enhanced,2020,Percent of all cattle,95
Iowa,Pigs,Genetically engineered (GE) cattle,High-yield,2024,Percent of all pigs,96
California,Pigs,Genetically engineered (GE) pigs,Growth hormone-enhanced,2020,Percent of all pigs,29
Nebraska,Pigs,Genetically engineered (GE) cattle,Growth hormone-enhanced,2020,Percent of all cattle,89
California,Chickens,Genetically engineered (GE) cattle,Disease-resistant,2024,Percent of all chickens,47
Kansas,Chickens,Genetically engineered (GE) chickens,Growth hormone-enhanced,2016,Percent of all cattle,88
Iowa,Cattle,Genetically engineered (GE) pigs,High-yield,2014,Percent of all cattle,15
Iowa,Cattle,Genetically engineered (GE) cattle,High-yield,2011,Percent of all pigs,35
Texas,Chickens,Genetically engineered (GE) cattle,Growth hormone-enhanced,2024,Percent of all pigs,48
Texas,Pigs,Genetically engineered (GE) pigs,Disease-resistant,2014,Percent of all livestock,33
Iowa,Chickens,Genetically engineered (GE) cattle,High-yield,2024,Percent of all pigs,8
Iowa,Cattle,Genetically engineered (GE) cattle,Growth hormone-enhanced,2021,Percent of all chickens,19
Iowa,Cattle,Genetically engineered (GE) chickens,Growth hormone-enhanced,2020,Percent of all livestock,62
Nebraska,Pigs,Genetically engineered (GE) pigs,High-yield,2021,Percent of all chickens,10
Nebraska,Chickens,Genetically engineered (GE) pigs,Disease-resistant,2012,Percent of all cattle,23
Iowa,Pigs,Genetically engineered (GE) cattle,Disease-resistant,2011,Percent of all cattle,42
Iowa,Pigs,Genetically engineered (GE) pigs,High-yield,2015,Percent of all chickens,76
Nebraska,Pigs,Genetically engineered (GE) pigs,Growth hormone-enhanced,2013,Percent of all pigs,44
Kansas,Cattle,Genetically engineered (GE) chickens,Disease-resistant,2011,Percent of all chickens,26
Iowa,Pigs,Genetically engineered (GE) chickens,High-yield,2016,Percent of all pigs,99
California,Chickens,Genetically engineered (GE) pigs,High-yield,2017,Percent of all pigs,83
Iowa,Chickens,Genetically engineered (GE) cattle,Growth hormone-enhanced,2012,Percent of all pigs,94
Nebraska,Pigs,Genetically engineered (GE) cattle,Growth hormone-enhanced,2023,Percent of all chickens,46
Nebraska,Cattle,Genetically engineered (GE) pigs,Growth hormone-enhanced,2010,Percent of all pigs,31
Texas,Pigs,Genetically engineered (GE) chickens,Growth hormone-enhanced,2010,Percent of all chickens,12
Nebraska,Cattle,Genetically engineered (GE) cattle,Disease-resistant,2015,Percent of all livestock,46
Kansas,Chickens,Genetically engineered (GE) cattle,Disease-resistant,2022,Percent of all cattle,83
Nebraska,Cattle,Genetically engineered (GE) pigs,Disease-resistant,2018,Percent of all cattle,64
Kansas,Chickens,Genetically engineered (GE) chickens,Disease-resistant,2019,Percent of all chickens,6
Iowa,Chickens,Genetically engineered (GE) cattle,Growth hormone-enhanced,2010,Percent of all chickens,46
Nebraska,Pigs,Genetically engineered (GE) cattle,High-yield,2019,Percent of all livestock,27
Texas,Pigs,Genetically engineered (GE) pigs,High-yield,2013,Percent of all pigs,40
Nebraska,Cattle,Genetically engineered (GE) cattle,High-yield,2015,Percent of all chickens,44
Iowa,Chickens,Genetically engineered (GE) pigs,Disease-resistant,2012,Percent of all pigs,98
California,Pigs,Genetically engineered (GE) cattle,Disease-resistant,2022,Percent of all chickens,79
Iowa,Cattle,Genetically engineered (GE) pigs,Growth hormone-enhanced,2024,Percent of all pigs,48
California,Pigs,Genetically engineered (GE) cattle,Growth hormone-enhanced,2018,Percent of all cattle,68
Iowa,Cattle,Genetically engineered (GE) cattle,High-yield,2015,Percent of all livestock,35
Iowa,Cattle,Genetically engineered (GE) cattle,High-yield,2013,Percent of all pigs,37
Iowa,Chickens,Genetically engineered (GE) cattle,High-yield,2022,Percent of all pigs,0
Texas,Cattle,Genetically engineered (GE) chickens,Growth hormone-enhanced,2017,Percent of all livestock,57
Nebraska,Pigs,Genetically engineered (GE) pigs,Disease-resistant,2018,Percent of all chickens,34
Texas,Pigs,Genetically engineered (GE) cattle,High-yield,2018,Percent of all pigs,6
Nebraska,Pigs,Genetically engineered (GE) cattle,Growth hormone-enhanced,2019,Percent of all pigs,74
Texas,Chickens,Genetically engineered (GE) pigs,High-yield,2018,Percent of all cattle,66
California,Pigs,Genetically engineered (GE) pigs,High-yield,2019,Percent of all livestock,11
Kansas,Pigs,Genetically engineered (GE) cattle,High-yield,2017,Percent of all pigs,59
Iowa,Chickens,Genetically engineered (GE) cattle,High-yield,2024,Percent of all cattle,10
Nebraska,Pigs,Genetically engineered (GE) chickens,High-yield,2021,Percent of all livestock,11
Kansas,Cattle,Genetically engineered (GE) cattle,Growth hormone-enhanced,2010,Percent of all chickens,78
Kansas,Chickens,Genetically engineered (GE) chickens,High-yield,2020,Percent of all chickens,34
Kansas,Pigs,Genetically engineered (GE) chickens,Disease-resistant,2021,Percent of all chickens,48
Iowa,Chickens,Genetically engineered (GE) cattle,High-yield,2020,Percent of all cattle,72
California,Pigs,Genetically engineered (GE) chickens,Disease-resistant,2022,Percent of all chickens,93
Texas,Cattle,Genetically engineered (GE) pigs,Growth hormone-enhanced,2022,Percent of all chickens,98
California,Cattle,Genetically engineered (GE) pigs,Disease-resistant,2010,Percent of all pigs,34
California,Cattle,Genetically engineered (GE) chickens,High-yield,2012,Percent of all pigs,53
Kansas,Pigs,Genetically engineered (GE) pigs,Growth hormone-enhanced,2017,Percent of all pigs,42
Nebraska,Cattle,Genetically engineered (GE) pigs,Disease-resistant,2022,Percent of all chickens,56
California,Cattle,Genetically engineered (GE) chickens,High-yield,2019,Percent of all pigs,97
California,Pigs,Genetically engineered (GE) chickens,Growth hormone-enhanced,2020,Percent of all livestock,64
California,Cattle,Genetically engineered (GE) cattle,Disease-resistant,2012,Percent of all cattle,38
Iowa,Pigs,Genetically engineered (GE) chickens,High-yield,2017,Percent of all livestock,18
Iowa,Cattle,Genetically engineered (GE) pigs,Growth hormone-enhanced,2019,Percent of all pigs,91
California,Chickens,Genetically engineered (GE) cattle,Growth hormone-enhanced,2020,Percent of all cattle,28
Texas,Cattle,Genetically engineered (GE) pigs,High-yield,2021,Percent of all cattle,98
California,Pigs,Genetically engineered (GE) pigs,Disease-resistant,2017,Percent of all pigs,34
California,Pigs,Genetically engineered (GE) cattle,High-yield,2016,Percent of all chickens,18
Kansas,Cattle,Genetically engineered (GE) pigs,Disease-resistant,2020,Percent of all chickens,86
Iowa,Pigs,Genetically engineered (GE) chickens,Growth hormone-enhanced,2022,Percent of all chickens,19
Kansas,Cattle,Genetically engineered (GE) pigs,High-yield,2022,Percent of all chickens,29
Texas,Cattle,Genetically engineered (GE) chickens,Growth hormone-enhanced,2012,Percent of all chickens,48
Nebraska,Cattle,Genetically engineered (GE) chickens,Growth hormone-enhanced,2015,Percent of all livestock,11
Kansas,Pigs,Genetically engineered (GE) cattle,High-yield,2010,Percent of all pigs,70
Texas,Chickens,Genetically engineered (GE) cattle,Disease-resistant,2015,Percent of all cattle,70
Kansas,Cattle,Genetically engineered (GE) pigs,Growth hormone-enhanced,2018,Percent of all pigs,30
California,Cattle,Genetically engineered (GE) pigs,Growth hormone-enhanced,2011,Percent of all chickens,11
Kansas,Chickens,Genetically engineered (GE) cattle,Growth hormone-enhanced,2018,Percent of all livestock,84
Iowa,Chickens,Genetically engineered (GE) chickens,Disease-resistant,2016,Percent of all chickens,19
Texas,Pigs,Genetically engineered (GE) cattle,High-yield,2015,Percent of all cattle,62
Texas,Pigs,Genetically engineered (GE) pigs,Disease-resistant,2012,Percent of all cattle,31
Nebraska,Chickens,Genetically engineered (GE) cattle,Growth hormone-enhanced,2019,Percent of all pigs,69
California,Chickens,Genetically engineered (GE) cattle,High-yield,2021,Percent of all cattle,61
Nebraska,Chickens,Genetically engineered (GE) pigs,Growth hormone-enhanced,2013,Percent of all livestock,1
Texas,Pigs,Genetically engineered (GE) pigs,Growth hormone-enhanced,2012,Percent of all chickens,57
California,Chickens,Genetically engineered (GE) pigs,Growth hormone-enhanced,2010,Percent of all pigs,31
